reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
SHIP,SHAP,SHAP,"{'mean_confidence': 0.9698449373245239, 'min_confidence': 0.5169887542724609, 'max_confidence': 0.9999510049819946}","{'mean_confidence': 0.9685506224632263, 'min_confidence': 0.4787055253982544, 'max_confidence': 0.9999814033508301}",3.0,3.2511875,1.0,1.0,"{'original_duration': 3.0, 'adjusted_duration': 3.2511875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 5.1541875, 'total_adjusted_duration': 5.585733464172303, 'tempo_ratio': 0.922741397}, 'sh': {'count': 1, 'total_original_duration': 1.0749375, 'total_adjusted_duration': 0.9889452165138364, 'tempo_ratio': 1.086953536}, 'ih': {'count': 1, 'total_original_duration': 0.882, 'total_adjusted_duration': 0.7115753274363688, 'tempo_ratio': 1.239503347}, 'pcl': {'count': 1, 'total_original_duration': 0.813125, 'total_adjusted_duration': 0.6097559635863615, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.3169375, 'total_adjusted_duration': 0.2348526302051844, 'tempo_ratio': 1.349516502}}}",0018.wav
PARK,PALOK,HARLOCK,"{'mean_confidence': 0.9438818097114563, 'min_confidence': 0.3291313648223877, 'max_confidence': 0.9999396800994873}","{'mean_confidence': 0.9611533284187317, 'min_confidence': 0.39518120884895325, 'max_confidence': 0.9998819828033447}",1.65,1.2620625,1.0,1.0,"{'original_duration': 1.65, 'adjusted_duration': 1.2620625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 0.651, 'total_adjusted_duration': 0.7055064421261681, 'tempo_ratio': 0.922741397}, 'pcl': {'count': 1, 'total_original_duration': 1.35825, 'total_adjusted_duration': 1.0185408609268876, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.6556875, 'total_adjusted_duration': 0.48586845661261874, 'tempo_ratio': 1.349516502}, 'aa': {'count': 1, 'total_original_duration': 0.56675, 'total_adjusted_duration': 0.437926686632734, 'tempo_ratio': 1.294166392}, 'r': {'count': 1, 'total_original_duration': 0.5666875, 'total_adjusted_duration': 0.5112034147358819, 'tempo_ratio': 1.108536218}, 'kcl': {'count': 1, 'total_original_duration': 0.4403125, 'total_adjusted_duration': 0.32265295275245626, 'tempo_ratio': 1.364662856}, 'k': {'count': 1, 'total_original_duration': 0.290375, 'total_adjusted_duration': 0.20379401752072698, 'tempo_ratio': 1.424845555}}}",0019.wav
GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE,GOD FADLERS LIF TO WE MARGER AN AND IS LANKWUIGE,GOD FODLERS LI TO BE MARTER AN ANIT LANK WIGE,"{'mean_confidence': 0.9449624419212341, 'min_confidence': 0.26202887296676636, 'max_confidence': 0.9999622106552124}","{'mean_confidence': 0.928318440914154, 'min_confidence': 0.22403550148010254, 'max_confidence': 0.9999878406524658}",8.25,7.2065,1.125,1.0,"{'original_duration': 8.25, 'adjusted_duration': 7.2065, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 3.741625, 'total_adjusted_duration': 4.054900985438286, 'tempo_ratio': 0.922741397}, 'gcl': {'count': 2, 'total_original_duration': 2.6459375, 'total_adjusted_duration': 2.5149558385089437, 'tempo_ratio': 1.052081098}, 'g': {'count': 2, 'total_original_duration': 0.6133124999999999, 'total_adjusted_duration': 0.525543085910132, 'tempo_ratio': 1.167007076}, 'r': {'count': 1, 'total_original_duration': 0.2205, 'total_adjusted_duration': 0.19891095700763112, 'tempo_ratio': 1.108536218}, 'ae': {'count': 2, 'total_original_duration': 0.7993125, 'total_adjusted_duration': 0.6381985411638669, 'tempo_ratio': 1.252451155}, 'n': {'count': 4, 'total_original_duration': 1.7846875, 'total_adjusted_duration': 1.4648576485615465, 'tempo_ratio': 1.218335107}, 'f': {'count': 1, 'total_original_duration': 0.6753125, 'total_adjusted_duration': 0.57084201835256, 'tempo_ratio': 1.183011198}, 'aa': {'count': 2, 'total_original_duration': 1.4539374999999999, 'total_adjusted_duration': 1.1234548424280206, 'tempo_ratio': 1.294166392}, 'dh': {'count': 1, 'total_original_duration': 0.6890625, 'total_adjusted_duration': 0.47603880139739685, 'tempo_ratio': 1.447492301}, 'er': {'count': 2, 'total_original_duration': 1.1163124999999998, 'total_adjusted_duration': 0.8163647271114438, 'tempo_ratio': 1.36741883}, 'l': {'count': 2, 'total_original_duration': 0.8613125, 'total_adjusted_duration': 0.7117796954862898, 'tempo_ratio': 1.210082987}, 'ay': {'count': 1, 'total_original_duration': 0.4685625, 'total_adjusted_duration': 0.4513677776634069, 'tempo_ratio': 1.038094705}, 'kcl': {'count': 1, 'total_original_duration': 0.17225, 'total_adjusted_duration': 0.12622165192132992, 'tempo_ratio': 1.364662856}, 'k': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.11606521101158924, 'tempo_ratio': 1.424845555}, 'dcl': {'count': 2, 'total_original_duration': 0.46168750000000003, 'total_adjusted_duration': 0.4405487998091892, 'tempo_ratio': 1.047982653}, 's': {'count': 1, 'total_original_duration': 0.8130625, 'total_adjusted_duration': 0.6705127184105935, 'tempo_ratio': 1.212598177}, 'tcl': {'count': 1, 'total_original_duration': 0.317, 'total_adjusted_duration': 0.28954619142265897, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.29625, 'total_adjusted_duration': 0.25105883970305964, 'tempo_ratio': 1.180002267}, 'uw': {'count': 1, 'total_original_duration': 0.3445625, 'total_adjusted_duration': 0.29745043790268233, 'tempo_ratio': 1.158386259}, 'bcl': {'count': 1, 'total_original_duration': 0.275625, 'total_adjusted_duration': 0.25087260820205676, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.565, 'total_adjusted_duration': 0.5039974967327447, 'tempo_ratio': 1.121037314}, 'iy': {'count': 1, 'total_original_duration': 0.42725, 'total_adjusted_duration': 0.33823098180942085, 'tempo_ratio': 1.263190018}, 'm': {'count': 1, 'total_original_duration': 0.3720625, 'total_adjusted_duration': 0.3008792286856643, 'tempo_ratio': 1.236584199}, 'd': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.13532912950171438, 'tempo_ratio': 1.222020718}, 'ih': {'count': 2, 'total_original_duration': 0.840625, 'total_adjusted_duration': 0.6781950222519245, 'tempo_ratio': 1.239503347}, 'hh': {'count': 1, 'total_original_duration': 0.4134375, 'total_adjusted_duration': 0.34345095364621864, 'tempo_ratio': 1.2037745}, 'z': {'count': 1, 'total_original_duration': 0.70975, 'total_adjusted_duration': 0.47643453687228815, 'tempo_ratio': 1.489711482}, 'w': {'count': 1, 'total_original_duration': 0.227375, 'total_adjusted_duration': 0.17910852274602815, 'tempo_ratio': 1.269481745}, 'ah': {'count': 1, 'total_original_duration': 0.379, 'total_adjusted_duration': 0.2386932878918415, 'tempo_ratio': 1.58781172}, 'jh': {'count': 1, 'total_original_duration': 0.5788125, 'total_adjusted_duration': 0.4352163448353784, 'tempo_ratio': 1.329942009}}}",0020.wav
BUBBLE,BRARBAU,BARBAU,"{'mean_confidence': 0.9191545248031616, 'min_confidence': 0.3029036521911621, 'max_confidence': 0.999783456325531}","{'mean_confidence': 0.9359930157661438, 'min_confidence': 0.5120301246643066, 'max_confidence': 0.9996858835220337}",1.5,1.3228125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.3228125, 'phoneme_stats': {'bcl': {'count': 1, 'total_original_duration': 1.20925, 'total_adjusted_duration': 1.1006537921753727, 'tempo_ratio': 1.098665183}, 'b': {'count': 2, 'total_original_duration': 0.49812500000000004, 'total_adjusted_duration': 0.4443429257699088, 'tempo_ratio': 1.121037314}, 'ah': {'count': 2, 'total_original_duration': 0.732375, 'total_adjusted_duration': 0.46124801245326497, 'tempo_ratio': 1.58781172}, 'l': {'count': 1, 'total_original_duration': 0.323625, 'total_adjusted_duration': 0.2674403354784129, 'tempo_ratio': 1.210082987}, 'noi': {'count': 1, 'total_original_duration': 1.3496875, 'total_adjusted_duration': 1.4626931276607718, 'tempo_ratio': 0.922741397}}}",0021.wav
BIT,BOT,BET,"{'mean_confidence': 0.9706186056137085, 'min_confidence': 0.42179688811302185, 'max_confidence': 0.9998364448547363}","{'mean_confidence': 0.9498100876808167, 'min_confidence': 0.22626586258411407, 'max_confidence': 0.9998058676719666}",1.35,1.212125,1.0,1.0,"{'original_duration': 1.35, 'adjusted_duration': 1.212125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.1304375, 'total_adjusted_duration': 1.2250859272980033, 'tempo_ratio': 0.922741397}, 'bcl': {'count': 1, 'total_original_duration': 0.68975, 'total_adjusted_duration': 0.6278072798453284, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.145625, 'total_adjusted_duration': 0.1299020096667362, 'tempo_ratio': 1.121037314}, 'ih': {'count': 1, 'total_original_duration': 0.8085625, 'total_adjusted_duration': 0.6523278069050668, 'tempo_ratio': 1.239503347}, 'tcl': {'count': 1, 'total_original_duration': 0.2950625, 'total_adjusted_duration': 0.2695085902417928, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.6323125, 'total_adjusted_duration': 0.535857021366214, 'tempo_ratio': 1.180002267}}}",0022.wav
WELL HE IS NEARLY NINETY THREE YEARS OLD,WEL YE AV DENELY NINETY THRE YEARS OLD,WEL YE OFTENEWLY NINETU THRE YEARS OLD,"{'mean_confidence': 0.9543896913528442, 'min_confidence': 0.3412524163722992, 'max_confidence': 0.9999966621398926}","{'mean_confidence': 0.948479950428009, 'min_confidence': 0.3042917847633362, 'max_confidence': 0.9999980926513672}",6.6,5.769,0.625,0.75,"{'original_duration': 6.6, 'adjusted_duration': 5.769, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.1835, 'total_adjusted_duration': 3.4500457119948633, 'tempo_ratio': 0.922741397}, 'w': {'count': 1, 'total_original_duration': 0.5099375, 'total_adjusted_duration': 0.40168950991886854, 'tempo_ratio': 1.269481745}, 'eh': {'count': 1, 'total_original_duration': 0.5994375, 'total_adjusted_duration': 0.4613366132001566, 'tempo_ratio': 1.299349505}, 'l': {'count': 2, 'total_original_duration': 0.7924375, 'total_adjusted_duration': 0.6548621115354959, 'tempo_ratio': 1.210082987}, 'hh': {'count': 1, 'total_original_duration': 0.5236875, 'total_adjusted_duration': 0.4350378746185436, 'tempo_ratio': 1.2037745}, 'iy': {'count': 4, 'total_original_duration': 1.770875, 'total_adjusted_duration': 1.4019070565518037, 'tempo_ratio': 1.263190018}, 'ih': {'count': 3, 'total_original_duration': 2.2119375000000003, 'total_adjusted_duration': 1.784535318402815, 'tempo_ratio': 1.239503347}, 'dcl': {'count': 3, 'total_original_duration': 1.4470625, 'total_adjusted_duration': 1.3808076840371135, 'tempo_ratio': 1.047982653}, 'z': {'count': 2, 'total_original_duration': 0.9233125, 'total_adjusted_duration': 0.6197928331467342, 'tempo_ratio': 1.489711482}, 'n': {'count': 3, 'total_original_duration': 1.2816874999999999, 'total_adjusted_duration': 1.051999152479483, 'tempo_ratio': 1.218335107}, 'r': {'count': 3, 'total_original_duration': 1.30925, 'total_adjusted_duration': 1.181061997561184, 'tempo_ratio': 1.108536218}, 'ay': {'count': 1, 'total_original_duration': 0.4271875, 'total_adjusted_duration': 0.41151110581957934, 'tempo_ratio': 1.038094705}, 'tcl': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.15105268582499126, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.3583125, 'total_adjusted_duration': 0.3036540776408525, 'tempo_ratio': 1.180002267}, 'th': {'count': 1, 'total_original_duration': 0.447875, 'total_adjusted_duration': 0.39297356095729585, 'tempo_ratio': 1.139707717}, 'y': {'count': 1, 'total_original_duration': 0.571875, 'total_adjusted_duration': 0.44269125230504835, 'tempo_ratio': 1.291814548}, 'ow': {'count': 1, 'total_original_duration': 1.0611875, 'total_adjusted_duration': 0.9665514500449978, 'tempo_ratio': 1.097911032}, 'd': {'count': 1, 'total_original_duration': 0.571875, 'total_adjusted_duration': 0.46797488092996475, 'tempo_ratio': 1.222020718}}}",0023.wav
TROUBLE,TRALBLON,TRALBON,"{'mean_confidence': 0.933901309967041, 'min_confidence': 0.4061422646045685, 'max_confidence': 0.9999344348907471}","{'mean_confidence': 0.9260060787200928, 'min_confidence': 0.39992666244506836, 'max_confidence': 0.9998506307601929}",1.95,1.7531875,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.7531875, 'phoneme_stats': {'tcl': {'count': 1, 'total_original_duration': 1.4613125, 'total_adjusted_duration': 1.3347554222502345, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.4095625, 'total_adjusted_duration': 0.34708619758948306, 'tempo_ratio': 1.180002267}, 'r': {'count': 1, 'total_original_duration': 0.1495, 'total_adjusted_duration': 0.13486253094168185, 'tempo_ratio': 1.108536218}, 'ah': {'count': 2, 'total_original_duration': 0.8800625000000001, 'total_adjusted_duration': 0.5542612445258939, 'tempo_ratio': 1.58781172}, 'bcl': {'count': 1, 'total_original_duration': 0.0719375, 'total_adjusted_duration': 0.06547718186860937, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.2214375, 'total_adjusted_duration': 0.19752910740311005, 'tempo_ratio': 1.121037314}, 'l': {'count': 1, 'total_original_duration': 0.27675, 'total_adjusted_duration': 0.2287033228077274, 'tempo_ratio': 1.210082987}, 'noi': {'count': 1, 'total_original_duration': 1.8764375, 'total_adjusted_duration': 2.033546458520924, 'tempo_ratio': 0.922741397}}}",0024.wav
CHAIR,KAE,CHA,"{'mean_confidence': 0.9601899981498718, 'min_confidence': 0.42962777614593506, 'max_confidence': 0.9999884366989136}","{'mean_confidence': 0.9510325789451599, 'min_confidence': 0.44830524921417236, 'max_confidence': 0.9999808073043823}",1.8,1.7240625,1.0,1.0,"{'original_duration': 1.8, 'adjusted_duration': 1.7240625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.1371875, 'total_adjusted_duration': 3.3998555935601966, 'tempo_ratio': 0.922741397}, 'ch': {'count': 1, 'total_original_duration': 0.531375, 'total_adjusted_duration': 0.5165351120388936, 'tempo_ratio': 1.028729679}, 'eh': {'count': 1, 'total_original_duration': 0.6846875, 'total_adjusted_duration': 0.5269463661357227, 'tempo_ratio': 1.299349505}, 'r': {'count': 1, 'total_original_duration': 0.5875625, 'total_adjusted_duration': 0.530034554089779, 'tempo_ratio': 1.108536218}}}",0025.wav
RAID,RET,RAT,"{'mean_confidence': 0.9370042681694031, 'min_confidence': 0.47805362939834595, 'max_confidence': 0.9998623132705688}","{'mean_confidence': 0.9271082282066345, 'min_confidence': 0.3971761167049408, 'max_confidence': 0.999803364276886}",1.5,1.4483125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.4483125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8947500000000002, 'total_adjusted_duration': 2.05339221385339, 'tempo_ratio': 0.922741397}, 'r': {'count': 1, 'total_original_duration': 0.621625, 'total_adjusted_duration': 0.560762012017545, 'tempo_ratio': 1.108536218}, 'ey': {'count': 1, 'total_original_duration': 1.1240625, 'total_adjusted_duration': 0.9832409340888809, 'tempo_ratio': 1.14322183}, 'dcl': {'count': 1, 'total_original_duration': 0.187375, 'total_adjusted_duration': 0.17879589844699462, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.2895, 'total_adjusted_duration': 0.23690269382159523, 'tempo_ratio': 1.222020718}}}",0026.wav
THE,LA,LAW,"{'mean_confidence': 0.9763547778129578, 'min_confidence': 0.5458175539970398, 'max_confidence': 0.9999864101409912}","{'mean_confidence': 0.971937358379364, 'min_confidence': 0.5106409788131714, 'max_confidence': 0.9999504089355469}",1.5,1.1583125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.1583125, 'phoneme_stats': {'dcl': {'count': 1, 'total_original_duration': 0.4981875, 'total_adjusted_duration': 0.47537762058738964, 'tempo_ratio': 1.047982653}, 'dh': {'count': 1, 'total_original_duration': 0.8515625, 'total_adjusted_duration': 0.5883019200942886, 'tempo_ratio': 1.447492301}, 'ah': {'count': 1, 'total_original_duration': 0.8600625, 'total_adjusted_duration': 0.5416652926582505, 'tempo_ratio': 1.58781172}, 'noi': {'count': 1, 'total_original_duration': 1.9075, 'total_adjusted_duration': 2.067209736337428, 'tempo_ratio': 0.922741397}}}",0027.wav
