reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
TIP,BIB,DID,"{'mean_confidence': 0.9963715672492981, 'min_confidence': 0.6164601445198059, 'max_confidence': 0.999984622001648}","{'mean_confidence': 0.997464656829834, 'min_confidence': 0.8572685718536377, 'max_confidence': 0.9999945163726807}",3.785,3.554625,1.0,1.0,"{'original_duration': 3.785, 'adjusted_duration': 3.554625, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 2.9946875000000004, 'total_adjusted_duration': 2.9946875000000004, 'tempo_ratio': 1.0}, 'tcl': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.07511321895972248, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.0700625, 'total_adjusted_duration': 0.04831148240179998, 'tempo_ratio': 1.450224595}, 'ih': {'count': 1, 'total_original_duration': 0.198, 'total_adjusted_duration': 0.12852909651196692, 'tempo_ratio': 1.540507211}, 'pcl': {'count': 1, 'total_original_duration': 0.256875, 'total_adjusted_duration': 0.19285336663136748, 'tempo_ratio': 1.331970525}, 'p': {'count': 1, 'total_original_duration': 0.1551875, 'total_adjusted_duration': 0.11510904369923966, 'tempo_ratio': 1.348178171}}}",0015.wav
BIT,BID,BID,"{'mean_confidence': 0.9951649308204651, 'min_confidence': 0.7582556009292603, 'max_confidence': 0.9999971389770508}","{'mean_confidence': 0.9959102869033813, 'min_confidence': 0.7309041619300842, 'max_confidence': 0.9999983310699463}",3.535,3.3373125,1.0,1.0,"{'original_duration': 3.535, 'adjusted_duration': 3.3373125, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 2.503, 'total_adjusted_duration': 2.503, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.35, 'total_adjusted_duration': 0.3774735758493855, 'tempo_ratio': 0.927217221}, 'bcl': {'count': 1, 'total_original_duration': 0.126125, 'total_adjusted_duration': 0.08421744264877623, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.01425, 'total_adjusted_duration': 0.009386062771735162, 'tempo_ratio': 1.51820847}, 'ih': {'count': 1, 'total_original_duration': 0.3265, 'total_adjusted_duration': 0.21194318187453134, 'tempo_ratio': 1.540507211}, 'tcl': {'count': 1, 'total_original_duration': 0.1444375, 'total_adjusted_duration': 0.1033253863189992, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.069625, 'total_adjusted_duration': 0.048009804991619255, 'tempo_ratio': 1.450224595}}}",0016.wav
BUBBLE,BANMO,BURBOU,"{'mean_confidence': 0.9693410396575928, 'min_confidence': 0.20736785233020782, 'max_confidence': 0.9999983310699463}","{'mean_confidence': 0.9705683588981628, 'min_confidence': 0.47200873494148254, 'max_confidence': 0.9999923706054688}",2.95,2.6645,1.0,1.0,"{'original_duration': 2.95, 'adjusted_duration': 2.6645, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 2.221625, 'total_adjusted_duration': 2.221625, 'tempo_ratio': 1.0}, 'bcl': {'count': 2, 'total_original_duration': 0.2515625, 'total_adjusted_duration': 0.16797582094218255, 'tempo_ratio': 1.497611374}, 'b': {'count': 2, 'total_original_duration': 0.0714375, 'total_adjusted_duration': 0.047053814684619694, 'tempo_ratio': 1.51820847}, 'ah': {'count': 2, 'total_original_duration': 0.2890625, 'total_adjusted_duration': 0.1648774595869711, 'tempo_ratio': 1.753195984}, 'l': {'count': 1, 'total_original_duration': 0.1141875, 'total_adjusted_duration': 0.06298341960175878, 'tempo_ratio': 1.812977141}}}",0017.wav
WELL HE IS NEARLY NINETY THREE YEARS OLD,WEL E EA MABE NAINBE RE YOU DOR,WEL E EAT MATY NAINDY REULOR,"{'mean_confidence': 0.9453672766685486, 'min_confidence': 0.3085225820541382, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9482540488243103, 'min_confidence': 0.3593635559082031, 'max_confidence': 0.9999996423721313}",9.0850625,7.01925,1.0,1.0,"{'original_duration': 9.0850625, 'adjusted_duration': 7.01925, 'phoneme_stats': {'sil': {'count': 6, 'total_original_duration': 3.2853125, 'total_adjusted_duration': 3.2853125, 'tempo_ratio': 1.0}, 'noi': {'count': 2, 'total_original_duration': 0.43162500000000004, 'total_adjusted_duration': 0.4655058062171173, 'tempo_ratio': 0.927217221}, 'w': {'count': 1, 'total_original_duration': 0.1473125, 'total_adjusted_duration': 0.1058691452319866, 'tempo_ratio': 1.391458292}, 'eh': {'count': 1, 'total_original_duration': 0.310125, 'total_adjusted_duration': 0.19436987283103582, 'tempo_ratio': 1.595540479}, 'l': {'count': 2, 'total_original_duration': 0.189, 'total_adjusted_duration': 0.10424841865118695, 'tempo_ratio': 1.812977141}, 'hh': {'count': 1, 'total_original_duration': 0.0873125, 'total_adjusted_duration': 0.0492811706635768, 'tempo_ratio': 1.771721305}, 'iy': {'count': 4, 'total_original_duration': 1.345625, 'total_adjusted_duration': 0.7709741875481462, 'tempo_ratio': 1.745356747}, 'ih': {'count': 3, 'total_original_duration': 0.991, 'total_adjusted_duration': 0.6432946194109052, 'tempo_ratio': 1.540507211}, 'z': {'count': 2, 'total_original_duration': 0.164, 'total_adjusted_duration': 0.06338115598975062, 'tempo_ratio': 2.587519862}, 'n': {'count': 3, 'total_original_duration': 0.6220000000000001, 'total_adjusted_duration': 0.363284824985322, 'tempo_ratio': 1.712155194}, 'ay': {'count': 1, 'total_original_duration': 0.451, 'total_adjusted_duration': 0.3168230365028069, 'tempo_ratio': 1.423507599}, 'tcl': {'count': 1, 'total_original_duration': 0.046375, 'total_adjusted_duration': 0.033175005040544096, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.0249375, 'total_adjusted_duration': 0.01719561238030169, 'tempo_ratio': 1.450224595}, 'r': {'count': 2, 'total_original_duration': 0.3578125, 'total_adjusted_duration': 0.1744598023510775, 'tempo_ratio': 2.050973893}, 'y': {'count': 1, 'total_original_duration': 0.1765, 'total_adjusted_duration': 0.10172888909845616, 'tempo_ratio': 1.73500371}, 'ow': {'count': 1, 'total_original_duration': 0.39, 'total_adjusted_duration': 0.29211092628403934, 'tempo_ratio': 1.335109251}, 'd': {'count': 1, 'total_original_duration': 0.061375, 'total_adjusted_duration': 0.038204809135097974, 'tempo_ratio': 1.606473148}}}",0018.wav
HE DRESSES HIMSELF IN AN ANCIENT BLACK FROCK COAT,E DREDI AN VALBIN AND EASIN T BEG FOR OUR COINT,E LA IT AN BEA BEIN AND EASIN BLEG FRO COIT,"{'mean_confidence': 0.9499077796936035, 'min_confidence': 0.4061232805252075, 'max_confidence': 0.9999985694885254}","{'mean_confidence': 0.9218501448631287, 'min_confidence': 0.37104275822639465, 'max_confidence': 0.9999926090240479}",12.39,9.6013125,1.2222222222222223,1.2222222222222223,"{'original_duration': 12.39, 'adjusted_duration': 9.6013125, 'phoneme_stats': {'sil': {'count': 6, 'total_original_duration': 4.7002500000000005, 'total_adjusted_duration': 4.7002500000000005, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.4, 'total_adjusted_duration': 0.4313983723992978, 'tempo_ratio': 0.927217221}, 'hh': {'count': 1, 'total_original_duration': 0.1516875, 'total_adjusted_duration': 0.08561589205476083, 'tempo_ratio': 1.771721305}, 'iy': {'count': 1, 'total_original_duration': 0.2191875, 'total_adjusted_duration': 0.12558320834794928, 'tempo_ratio': 1.745356747}, 'dcl': {'count': 1, 'total_original_duration': 0.130125, 'total_adjusted_duration': 0.0871440682653059, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.035625, 'total_adjusted_duration': 0.02217590754277581, 'tempo_ratio': 1.606473148}, 'r': {'count': 2, 'total_original_duration': 0.23525, 'total_adjusted_duration': 0.11470160629684815, 'tempo_ratio': 2.050973893}, 'eh': {'count': 2, 'total_original_duration': 0.4330625, 'total_adjusted_duration': 0.27142056607139203, 'tempo_ratio': 1.595540479}, 's': {'count': 2, 'total_original_duration': 0.228125, 'total_adjusted_duration': 0.16358750521897922, 'tempo_ratio': 1.394513595}, 'ah': {'count': 2, 'total_original_duration': 0.3208125, 'total_adjusted_duration': 0.1829872432561995, 'tempo_ratio': 1.753195984}, 'z': {'count': 1, 'total_original_duration': 0.18, 'total_adjusted_duration': 0.06956468340338481, 'tempo_ratio': 2.587519862}, 'ih': {'count': 2, 'total_original_duration': 0.638, 'total_adjusted_duration': 0.41414931098300456, 'tempo_ratio': 1.540507211}, 'm': {'count': 1, 'total_original_duration': 0.196, 'total_adjusted_duration': 0.10902151719861158, 'tempo_ratio': 1.79781024}, 'l': {'count': 2, 'total_original_duration': 0.313625, 'total_adjusted_duration': 0.17298894338348417, 'tempo_ratio': 1.812977141}, 'f': {'count': 2, 'total_original_duration': 0.15325, 'total_adjusted_duration': 0.07961023663466738, 'tempo_ratio': 1.925003699}, 'n': {'count': 3, 'total_original_duration': 0.4918125, 'total_adjusted_duration': 0.28724761734420207, 'tempo_ratio': 1.712155194}, 'ae': {'count': 2, 'total_original_duration': 0.62375, 'total_adjusted_duration': 0.3194071524681068, 'tempo_ratio': 1.95283667}, 'ey': {'count': 1, 'total_original_duration': 0.481125, 'total_adjusted_duration': 0.3337510267175291, 'tempo_ratio': 1.441568599}, 'ch': {'count': 1, 'total_original_duration': 0.1140625, 'total_adjusted_duration': 0.07657196828331575, 'tempo_ratio': 1.489611702}, 't': {'count': 2, 'total_original_duration': 0.15325, 'total_adjusted_duration': 0.10567328710902191, 'tempo_ratio': 1.450224595}, 'bcl': {'count': 1, 'total_original_duration': 0.1015625, 'total_adjusted_duration': 0.06781632522510475, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.032125, 'total_adjusted_duration': 0.02115980817838541, 'tempo_ratio': 1.51820847}, 'kcl': {'count': 3, 'total_original_duration': 0.6273124999999999, 'total_adjusted_duration': 0.4021562938207319, 'tempo_ratio': 1.559872392}, 'k': {'count': 3, 'total_original_duration': 0.4134375, 'total_adjusted_duration': 0.25366455854522885, 'tempo_ratio': 1.629859143}, 'aa': {'count': 1, 'total_original_duration': 0.33325, 'total_adjusted_duration': 0.20746820195568247, 'tempo_ratio': 1.606270247}, 'ow': {'count': 1, 'total_original_duration': 0.3493125, 'total_adjusted_duration': 0.26163589214767563, 'tempo_ratio': 1.335109251}, 'tcl': {'count': 1, 'total_original_duration': 0.3279375, 'total_adjusted_duration': 0.2345946785009904, 'tempo_ratio': 1.397889765}}}",0019.wav
HORN,OR,OR,"{'mean_confidence': 0.981860339641571, 'min_confidence': 0.43733707070350647, 'max_confidence': 0.9999902248382568}","{'mean_confidence': 0.9943280816078186, 'min_confidence': 0.6367908716201782, 'max_confidence': 0.9999910593032837}",3.51,3.2318125,1.0,1.0,"{'original_duration': 3.51, 'adjusted_duration': 3.2318125, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 2.8175, 'total_adjusted_duration': 2.8175, 'tempo_ratio': 1.0}, 'ao': {'count': 1, 'total_original_duration': 0.31, 'total_adjusted_duration': 0.20830105954793235, 'tempo_ratio': 1.488230548}, 'r': {'count': 1, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.08044958571298597, 'tempo_ratio': 2.050973893}, 'n': {'count': 1, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.12557272889364024, 'tempo_ratio': 1.712155194}}}",0020.wav
BAT,BRAG,RAG,"{'mean_confidence': 0.980660080909729, 'min_confidence': 0.5178498029708862, 'max_confidence': 0.9999980926513672}","{'mean_confidence': 0.9868937730789185, 'min_confidence': 0.5723199844360352, 'max_confidence': 0.9999819993972778}",3.69,3.4543125,1.0,1.0,"{'original_duration': 3.69, 'adjusted_duration': 3.4543125, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 3.114, 'total_adjusted_duration': 3.114, 'tempo_ratio': 1.0}, 'b': {'count': 1, 'total_original_duration': 0.0445, 'total_adjusted_duration': 0.029310862690681734, 'tempo_ratio': 1.51820847}, 'ae': {'count': 1, 'total_original_duration': 0.2989375, 'total_adjusted_duration': 0.1530785982219394, 'tempo_ratio': 1.95283667}, 't': {'count': 1, 'total_original_duration': 0.229, 'total_adjusted_duration': 0.1579065758431714, 'tempo_ratio': 1.450224595}}}",0021.wav
BEAT,BEIT,BRITE,"{'mean_confidence': 0.9852327704429626, 'min_confidence': 0.48586562275886536, 'max_confidence': 0.999994158744812}","{'mean_confidence': 0.979756236076355, 'min_confidence': 0.4742606282234192, 'max_confidence': 0.9999991655349731}",3.395,3.1188125,1.0,1.0,"{'original_duration': 3.395, 'adjusted_duration': 3.1188125, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 1.4375, 'total_adjusted_duration': 1.4375, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.965, 'total_adjusted_duration': 1.040748573413306, 'tempo_ratio': 0.927217221}, 'bcl': {'count': 1, 'total_original_duration': 0.1675, 'total_adjusted_duration': 0.11184477021740354, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.0275, 'total_adjusted_duration': 0.01811345447176961, 'tempo_ratio': 1.51820847}, 'iy': {'count': 1, 'total_original_duration': 0.3425, 'total_adjusted_duration': 0.1962349534493191, 'tempo_ratio': 1.745356747}, 'tcl': {'count': 1, 'total_original_duration': 0.155, 'total_adjusted_duration': 0.11088141846435223, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.295, 'total_adjusted_duration': 0.20341676800757885, 'tempo_ratio': 1.450224595}}}",0022.wav
I WILL LEAD YOU,IN OYELABE YOU,IN'T WE A LABE YOU,"{'mean_confidence': 0.9476051330566406, 'min_confidence': 0.46082547307014465, 'max_confidence': 0.9999995231628418}","{'mean_confidence': 0.952288031578064, 'min_confidence': 0.40291720628738403, 'max_confidence': 0.9999996423721313}",5.295,4.456625,0.75,1.0,"{'original_duration': 5.295, 'adjusted_duration': 4.456625, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 2.27175, 'total_adjusted_duration': 2.27175, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.445, 'total_adjusted_duration': 0.4799306892942188, 'tempo_ratio': 0.927217221}, 'ay': {'count': 1, 'total_original_duration': 0.5274375, 'total_adjusted_duration': 0.3705196237593109, 'tempo_ratio': 1.423507599}, 'w': {'count': 1, 'total_original_duration': 0.34325, 'total_adjusted_duration': 0.2466836426024906, 'tempo_ratio': 1.391458292}, 'ih': {'count': 1, 'total_original_duration': 0.4461875, 'total_adjusted_duration': 0.2896367487370366, 'tempo_ratio': 1.540507211}, 'l': {'count': 1, 'total_original_duration': 0.292375, 'total_adjusted_duration': 0.16126789102190892, 'tempo_ratio': 1.812977141}, 'eh': {'count': 1, 'total_original_duration': 0.2275625, 'total_adjusted_duration': 0.14262408443728364, 'tempo_ratio': 1.595540479}, 'dcl': {'count': 1, 'total_original_duration': 0.096625, 'total_adjusted_duration': 0.0647092841201551, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.0840625, 'total_adjusted_duration': 0.05232736078076046, 'tempo_ratio': 1.606473148}, 'y': {'count': 1, 'total_original_duration': 0.22, 'total_adjusted_duration': 0.12680088159580938, 'tempo_ratio': 1.73500371}, 'uw': {'count': 1, 'total_original_duration': 0.3379375, 'total_adjusted_duration': 0.2504685116579257, 'tempo_ratio': 1.349221496}}}",0023.wav
DAGGER,DAGE,BEDE,"{'mean_confidence': 0.9727866053581238, 'min_confidence': 0.5174286961555481, 'max_confidence': 0.9999970197677612}","{'mean_confidence': 0.9856134653091431, 'min_confidence': 0.48247402906417847, 'max_confidence': 0.9999942779541016}",3.22,2.9384375,1.0,1.0,"{'original_duration': 3.22, 'adjusted_duration': 2.9384375, 'phoneme_stats': {'sil': {'count': 4, 'total_original_duration': 2.112125, 'total_adjusted_duration': 2.112125, 'tempo_ratio': 1.0}, 'noi': {'count': 2, 'total_original_duration': 0.4175, 'total_adjusted_duration': 0.45027205119176705, 'tempo_ratio': 0.927217221}, 'dcl': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.04687865343762854, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.03025, 'total_adjusted_duration': 0.018830068860883318, 'tempo_ratio': 1.606473148}, 'ae': {'count': 1, 'total_original_duration': 0.2623125, 'total_adjusted_duration': 0.13432382954996436, 'tempo_ratio': 1.95283667}, 'gcl': {'count': 1, 'total_original_duration': 0.11775, 'total_adjusted_duration': 0.07781791374269352, 'tempo_ratio': 1.513147736}, 'g': {'count': 1, 'total_original_duration': 0.0346875, 'total_adjusted_duration': 0.018828879243682525, 'tempo_ratio': 1.842249852}, 'er': {'count': 1, 'total_original_duration': 0.1705, 'total_adjusted_duration': 0.0794085757700788, 'tempo_ratio': 2.147123259}}}",0024.wav
KNEW,NU,NO,"{'mean_confidence': 0.9837169051170349, 'min_confidence': 0.4836891293525696, 'max_confidence': 0.9999157190322876}","{'mean_confidence': 0.9836297035217285, 'min_confidence': 0.3608601987361908, 'max_confidence': 0.9998101592063904}",3.125,2.9444375,1.0,1.0,"{'original_duration': 3.125, 'adjusted_duration': 2.9444375, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 2.49, 'total_adjusted_duration': 2.49, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.08088719482486834, 'tempo_ratio': 0.927217221}, 'n': {'count': 1, 'total_original_duration': 0.2525, 'total_adjusted_duration': 0.14747494904950773, 'tempo_ratio': 1.712155194}, 'uw': {'count': 1, 'total_original_duration': 0.305, 'total_adjusted_duration': 0.2260562857204878, 'tempo_ratio': 1.349221496}}}",0025.wav
YET HE STILL THINKS AS SWIFTLY AS EVER,YE ART TOI GOE LINK AS IFURE B AB EBER,YET YE DA LINK AN I WIL BE AT EVER,"{'mean_confidence': 0.9317123889923096, 'min_confidence': 0.25548481941223145, 'max_confidence': 0.999998927116394}","{'mean_confidence': 0.951543927192688, 'min_confidence': 0.4460093379020691, 'max_confidence': 0.9999963045120239}",9.44,7.014625,1.125,1.0,"{'original_duration': 9.44, 'adjusted_duration': 7.014625, 'phoneme_stats': {'sil': {'count': 5, 'total_original_duration': 3.275875, 'total_adjusted_duration': 3.275875, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.43, 'total_adjusted_duration': 0.4637532503292451, 'tempo_ratio': 0.927217221}, 'y': {'count': 1, 'total_original_duration': 0.1546875, 'total_adjusted_duration': 0.08915686987205347, 'tempo_ratio': 1.73500371}, 'eh': {'count': 2, 'total_original_duration': 0.5471874999999999, 'total_adjusted_duration': 0.3429480525263439, 'tempo_ratio': 1.595540479}, 'tcl': {'count': 2, 'total_original_duration': 0.2869375, 'total_adjusted_duration': 0.205264754907194, 'tempo_ratio': 1.397889765}, 't': {'count': 2, 'total_original_duration': 0.16575, 'total_adjusted_duration': 0.11429264168561423, 'tempo_ratio': 1.450224595}, 'iy': {'count': 2, 'total_original_duration': 0.723625, 'total_adjusted_duration': 0.4146000531087986, 'tempo_ratio': 1.745356747}, 'ih': {'count': 3, 'total_original_duration': 0.736125, 'total_adjusted_duration': 0.47784586449430133, 'tempo_ratio': 1.540507211}, 'l': {'count': 1, 'total_original_duration': 0.2566875, 'total_adjusted_duration': 0.14158341779114578, 'tempo_ratio': 1.812977141}, 'ng': {'count': 1, 'total_original_duration': 0.1283125, 'total_adjusted_duration': 0.06731841380618185, 'tempo_ratio': 1.906053526}, 'kcl': {'count': 1, 'total_original_duration': 0.0445625, 'total_adjusted_duration': 0.02856804199404024, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.3261875, 'total_adjusted_duration': 0.20013232517725615, 'tempo_ratio': 1.629859143}, 'ae': {'count': 2, 'total_original_duration': 0.515125, 'total_adjusted_duration': 0.2637829409461059, 'tempo_ratio': 1.95283667}, 'z': {'count': 2, 'total_original_duration': 0.7806875, 'total_adjusted_duration': 0.30171265985822215, 'tempo_ratio': 2.587519862}, 's': {'count': 1, 'total_original_duration': 0.31375, 'total_adjusted_duration': 0.2249888427943221, 'tempo_ratio': 1.394513595}, 'w': {'count': 1, 'total_original_duration': 0.2049375, 'total_adjusted_duration': 0.14728253169948408, 'tempo_ratio': 1.391458292}, 'f': {'count': 1, 'total_original_duration': 0.171125, 'total_adjusted_duration': 0.08889593307737327, 'tempo_ratio': 1.925003699}, 'v': {'count': 1, 'total_original_duration': 0.146125, 'total_adjusted_duration': 0.05945286454575434, 'tempo_ratio': 2.457829427}, 'er': {'count': 1, 'total_original_duration': 0.2299375, 'total_adjusted_duration': 0.10709096417086506, 'tempo_ratio': 2.147123259}}}",0026.wav
I CAN READ,I CAN RIEVE,I CAN READ,"{'mean_confidence': 0.9762811064720154, 'min_confidence': 0.41438162326812744, 'max_confidence': 0.9999992847442627}","{'mean_confidence': 0.9919761419296265, 'min_confidence': 0.5463656783103943, 'max_confidence': 0.9999998807907104}",4.375,3.539375,0.3333333333333333,0.0,"{'original_duration': 4.375, 'adjusted_duration': 3.539375, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 2.0627500000000003, 'total_adjusted_duration': 2.0627500000000003, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.13, 'total_adjusted_duration': 0.1402044710297718, 'tempo_ratio': 0.927217221}, 'ay': {'count': 1, 'total_original_duration': 0.559125, 'total_adjusted_duration': 0.39277977890162286, 'tempo_ratio': 1.423507599}, 'kcl': {'count': 1, 'total_original_duration': 0.074875, 'total_adjusted_duration': 0.04800072133079973, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.0766875, 'total_adjusted_duration': 0.04705161199319664, 'tempo_ratio': 1.629859143}, 'ae': {'count': 1, 'total_original_duration': 0.3993125, 'total_adjusted_duration': 0.20447818608404153, 'tempo_ratio': 1.95283667}, 'n': {'count': 1, 'total_original_duration': 0.145, 'total_adjusted_duration': 0.08468858460268759, 'tempo_ratio': 1.712155194}, 'r': {'count': 1, 'total_original_duration': 0.172625, 'total_adjusted_duration': 0.0841673317194194, 'tempo_ratio': 2.050973893}, 'eh': {'count': 1, 'total_original_duration': 0.46375, 'total_adjusted_duration': 0.29065386062198423, 'tempo_ratio': 1.595540479}, 'dcl': {'count': 1, 'total_original_duration': 0.1248125, 'total_adjusted_duration': 0.08358631331691445, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.1623125, 'total_adjusted_duration': 0.10103654717296276, 'tempo_ratio': 1.606473148}}}",0027.wav
JACKET,RU AND DAGIT,HU AND EGIT,"{'mean_confidence': 0.9621418118476868, 'min_confidence': 0.476503849029541, 'max_confidence': 0.9999986886978149}","{'mean_confidence': 0.9550253748893738, 'min_confidence': 0.3528361916542053, 'max_confidence': 0.9999955892562866}",4.85,4.338,3.0,3.0,"{'original_duration': 4.85, 'adjusted_duration': 4.338, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 3.085, 'total_adjusted_duration': 3.085, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.525, 'total_adjusted_duration': 0.5662103637740784, 'tempo_ratio': 0.927217221}, 'jh': {'count': 1, 'total_original_duration': 0.385, 'total_adjusted_duration': 0.17075230943507502, 'tempo_ratio': 2.254727923}, 'ae': {'count': 1, 'total_original_duration': 0.24, 'total_adjusted_duration': 0.12289814283341986, 'tempo_ratio': 1.95283667}, 'kcl': {'count': 1, 'total_original_duration': 0.1075, 'total_adjusted_duration': 0.06891589373036355, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.09816799242264336, 'tempo_ratio': 1.629859143}, 'ah': {'count': 1, 'total_original_duration': 0.135, 'total_adjusted_duration': 0.0770022297746719, 'tempo_ratio': 1.753195984}, 'tcl': {'count': 1, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.1180350583652782, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.045, 'total_adjusted_duration': 0.03102967647573237, 'tempo_ratio': 1.450224595}}}",0028.wav
DOUBLE,ADEBLE,ABEABLE,"{'mean_confidence': 0.952754557132721, 'min_confidence': 0.3037123382091522, 'max_confidence': 0.9999969005584717}","{'mean_confidence': 0.9740035533905029, 'min_confidence': 0.49513646960258484, 'max_confidence': 0.9999943971633911}",2.89,2.6268125,1.0,1.0,"{'original_duration': 2.89, 'adjusted_duration': 2.6268125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 0.815, 'total_adjusted_duration': 0.8789741837635692, 'tempo_ratio': 0.927217221}, 'sil': {'count': 2, 'total_original_duration': 1.2575, 'total_adjusted_duration': 1.2575, 'tempo_ratio': 1.0}, 'd': {'count': 1, 'total_original_duration': 0.2425, 'total_adjusted_duration': 0.15095179169468445, 'tempo_ratio': 1.606473148}, 'ah': {'count': 2, 'total_original_duration': 0.28500000000000003, 'total_adjusted_duration': 0.1625602628576407, 'tempo_ratio': 1.753195984}, 'bcl': {'count': 1, 'total_original_duration': 0.15, 'total_adjusted_duration': 0.10015949571707779, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.02, 'total_adjusted_duration': 0.013173421434014263, 'tempo_ratio': 1.51820847}, 'l': {'count': 1, 'total_original_duration': 0.115, 'total_adjusted_duration': 0.06343157748617197, 'tempo_ratio': 1.812977141}}}",0029.wav
BUG,MUG,MURG,"{'mean_confidence': 0.9934619665145874, 'min_confidence': 0.639324963092804, 'max_confidence': 0.9999974966049194}","{'mean_confidence': 0.9894707202911377, 'min_confidence': 0.45151281356811523, 'max_confidence': 0.9999918937683105}",3.83,3.5236875,1.0,1.0,"{'original_duration': 3.83, 'adjusted_duration': 3.5236875, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 3.0575, 'total_adjusted_duration': 3.0575, 'tempo_ratio': 1.0}, 'bcl': {'count': 1, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.10683679543154964, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.05, 'total_adjusted_duration': 0.032933553585035656, 'tempo_ratio': 1.51820847}, 'ah': {'count': 1, 'total_original_duration': 0.27, 'total_adjusted_duration': 0.1540044595493438, 'tempo_ratio': 1.753195984}, 'gcl': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.08426143526278917, 'tempo_ratio': 1.513147736}, 'g': {'count': 1, 'total_original_duration': 0.1625, 'total_adjusted_duration': 0.08820736222265688, 'tempo_ratio': 1.842249852}}}",0030.wav
